rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
1,Ja'Marr Chase,CIN,,WR,25,339.5,1,0,9998,
2,Jayden Daniels,WAS,,QB,24,364.82,3,0,9997,
3,Josh Allen,BUF,,QB,29,385.04,1,0,9990,
4,Lamar Jackson,BAL,,QB,28,434.38,2,-2,9446,
5,Justin Jefferson,MIN,,WR,25,265.98,2,-2,9444,
6,Malik Nabers,NYG,,WR,21,219.1,5,1,8693,
7,Bijan Robinson,ATL,,RB,23,311.2,2,2,8271,high
8,Joe Burrow,CIN,,QB,28,381.82,4,-2,8266,
9,Brock Bowers,LV,,TE,22,206.7,1,0,8201,
10,Jahmyr Gibbs,DET,,RB,23,336.9,3,0,8187,
11,Jalen Hurts,PHI,,QB,26,320.12,5,-1,8072,
12,CeeDee Lamb,DAL,,WR,26,212.9,3,1,7933,
13,Ashton Jeanty,LV,,RB,21,0,4,5,7876,high
14,Brian Thomas,JAX,,WR,22,240.5,8,2,7708,
15,Amon-Ra St. Brown,DET,,WR,25,258.68,5,0,7515,
16,Puka Nacua,LA,,WR,23,167.1,5,0,7371,
17,Patrick Mahomes,KC,,QB,29,293.52,6,-2,7063,
18,Drake Maye,NE,,QB,22,187.14,16,0,6774,
19,Justin Herbert,LAC,,QB,27,288.4,13,-1,6669,
20,C.J. Stroud,HOU,,QB,23,232.38,17,0,6653,
21,Caleb Williams,CHI,Questionable,QB,23,260.54,11,-2,6612,low
22,Drake London,ATL,,WR,23,230.8,9,0,6569,
23,Trey McBride,ARI,,TE,25,194.3,2,0,6542,
24,Nico Collins,HOU,,WR,26,176.6,7,-1,6536,
25,Bo Nix,DEN,,QB,25,328.7,8,0,6532,
26,Marvin Harrison,ARI,,WR,22,165.5,17,-1,6495,
27,Ladd McConkey,LAC,,WR,23,199.9,11,2,6491,
28,Saquon Barkley,PHI,,RB,28,338.8,2,-1,6472,low
29,2025 Early 1st,FA,,PI,,0,0,-1,6343,
30,Jaxon Smith-Njigba,SEA,,WR,23,203,13,-3,6297,
31,Omarion Hampton,LAC,,RB,22,0,15,6,6262,
32,Jordan Love,GB,,QB,26,244.86,16,-2,6146,low
33,De'Von Achane,MIA,,RB,23,260.9,7,0,6003,
34,Garrett Wilson,NYJ,,WR,24,201.4,14,-4,5956,low
35,Travis Hunter,JAX,,WR,22,0,31,5,5955,
36,A.J. Brown,PHI,,WR,27,183.4,10,-4,5926,
37,Brock Purdy,SF,,QB,25,278.86,13,4,5770,
